total_pop,deaths,family_households,nonfamily_households,rent_burden_not_computed,median_rent,white_pop,income_per_capita,families_with_young_children,income_less_10000,married_households,armed_forces,employed_pop,civilian_labor_force,unemployed_pop,bachelors_degree,in_school,no_cars,four_more_cars,pop_25_64,median_income,median_age,confirmed_cases,
39302,59,10157,6189,619,430,37738,22346,2348,1909,7304,8,15466,16978,1512,2724,8341,1437,997,19935,39454,42.3,3847,
17429,41,4507,2295,220,435,14705,24840,1192,388,3494,5,8248,8829,581,1959,5054,404,501,8254,47278,39.1,1586,
52540,79,12315,8691,875,504,47789,26060,2875,2048,9139,17,24725,26660,1935,4849,16853,1545,963,24747,41907,34.3,4703,
287512,373,74501,39990,2428,619,201954,27297,21009,8759,52402,49,132190,146914,14724,27530,71329,9525,6410,148418,51110,39.6,26295,
34670,35,8548,4868,384,527,30073,28179,2077,857,6780,6,15386,16350,964,2727,7494,821,873,18752,58319,42.7,3048,
67477,107,17731,9131,683,531,60823,26023,4322,2022,13305,41,28720,30837,2117,6288,14566,1768,1523,35605,48600,40.9,6196,
146205,261,37684,22380,1190,573,106163,27822,10628,4571,26854,69,68461,73720,5259,14918,34905,4835,2681,74173,51426,40,11919,
38358,103,9767,5477,358,442,32911,24617,2788,1307,7224,7,15916,17398,1482,2578,8462,1384,986,19915,46109,40.9,3435,
6791,5,1295,771,64,391,4999,21906,322,80,1083,0,2418,2537,119,489,1373,120,153,4117,56289,38.7,610,
12880,21,3361,1799,158,414,9815,25451,1142,244,2493,12,6152,6609,457,832,2866,280,286,6613,50156,40.2,1751,
17267,30,4758,1928,198,358,15781,24646,1055,451,3554,0,7245,7654,409,1751,3588,313,463,8999,46716,43.5,1993,
12416,6,3683,1547,182,496,11896,32839,867,319,2904,8,6091,6385,294,1516,2771,270,389,6456,62368,42.3,880,
15794,29,4510,2110,259,472,15134,27844,966,413,3689,5,7327,7838,511,1480,3366,358,667,8000,55649,44.8,1172,
4360,2,1047,592,69,274,3944,22191,186,138,904,0,1330,1463,133,307,724,74,106,2185,41139,52.2,247,
4897,1,1266,615,91,355,4735,25660,232,168,1087,0,2166,2249,83,278,1165,118,106,2418,53641,46.5,440,
15930,43,4230,2399,262,372,15214,23218,1041,526,3325,0,6950,7448,498,1350,3551,433,422,7938,41387,42.4,1543,
5551,20,1565,765,73,413,5334,30009,362,142,1232,0,2583,2712,129,512,1174,81,257,2748,52284,45,493,
6927,7,1999,1020,119,430,6670,27949,420,118,1552,6,3331,3544,213,588,1287,92,234,3436,47428,49.2,453,
17603,32,5267,2402,353,409,17103,26344,1075,740,3898,0,8052,8699,647,1495,3439,630,488,9025,47873,44.5,1443,
16569,42,4673,2444,341,371,15973,25046,1173,427,3886,2,7347,7714,367,1129,3426,472,632,8196,46405,43.4,1520,
